ID	Gene	GDM category	HGNC_ID	NCBI_ID	MIMNumber		
1742	ACOX2	red	HGNC:120	8309	601641		
1773	ACOX3	blue	HGNC:121	8310	603402		
10197	ACOXL	blue	HGNC:25621	55289			
1776	ACP1	blue	HGNC:122	52	171500		
1786	ACP2	blue	HGNC:123	53	171650		
2816	ACP4	red	HGNC:14376	93650	606362		
1836	ACP5	red	HGNC:124	54	171640		
12794	ACP6	grey-blue	HGNC:29609	51205	611471		
14280	ACP7	blue	HGNC:33781	390928	610490		
1905	ACPP	blue	HGNC:125	55	171790		
620	ACR	blue	HGNC:126	49	102480		
3795	ACRBP	blue	HGNC:17195	84519	608352		
695	ACRV1	blue	HGNC:127	56	102525		
12751	ACSBG1	blue	HGNC:29567	23205	614362		
8842	ACSBG2	blue	HGNC:24174	81616	614363		
10588	ACSF2	blue	HGNC:26101	80221	610465		
11364	ACSF3	red	HGNC:27288	197322	614245		
14645	ACSL1	blue	HGNC:3569	2180	152425		
14647	ACSL3	blue	HGNC:3570	2181	602371		
14648	ACSL4	grey-red	HGNC:3571	2182	300157		
4537	ACSL5	blue	HGNC:16526	51703	605677		
4511	ACSL6	blue	HGNC:16496	23305	604443		
5323	ACSM1	blue	HGNC:18049	116285	614357		
13791	ACSM2A	blue	HGNC:32017	123876	614358		
13670	ACSM2B	blue	HGNC:30931	348158	614359		
37	ACSM3	blue	HGNC:10522	6296	145505		
13790	ACSM4	blue	HGNC:32016	341392	614360		
10557	ACSM5	blue	HGNC:26060	54988	614361		
9498	ACSM6	blue	HGNC:31665	142827			
4226	ACSS1	blue	HGNC:16091	84532	614355		
3990	ACSS2	blue	HGNC:15814	55902	605832		
8065	ACSS3	blue	HGNC:24723	79611	614356		
821	ACTA1	red	HGNC:129	58	102610		
1957	ACTA2	red	HGNC:130	59	102620		
2097	ACTB	red	HGNC:132	60	102630		
5103	ACTBL2	blue	HGNC:17780	345651	614835		
2757	ACTC1	red	HGNC:143	70	102540		
2826	ACTG1	red	HGNC:144	71	102560		
2899	ACTG2	red	HGNC:145	72	102545		
4258	ACTL10	blue	HGNC:16127	170487			
8801	ACTL6A	blue	HGNC:24124	86	604958		
4154	ACTL6B	grey-red	HGNC:160	51412	612458		
4234	ACTL7A	blue	HGNC:161	10881	604303		
4315	ACTL7B	blue	HGNC:162	10880	604304		
8721	ACTL8	blue	HGNC:24018	81569			
11905	ACTL9	blue	HGNC:28494	284382			
4395	ACTN1	grey-red	HGNC:163	87	102575		
4447	ACTN2	grey-red	HGNC:164	88	102573		
4514	ACTN3	blue	HGNC:165	89	102574		
4543	ACTN4	grey-red	HGNC:166	81	604638		
4890	ACTR10	blue	HGNC:17372	55860			
4619	ACTR1A	blue	HGNC:167	10121	605143		
4691	ACTR1B	blue	HGNC:168	10120	605144		
4788	ACTR2	blue	HGNC:169	10097	604221		
