CDK18	ENST00000506784
RPL36	ENST00000577222
SLC26A2	ENST00000286298
FBLN1	ENST00000327858
MAST3	ENST00000262811
LINGO1	ENST00000355300
C4orf17	ENST00000326581
SMAD6	ENST00000288840
IFT57	ENST00000264538
ZNF540	ENST00000592533
LLPH	ENST00000266604
CNTN2	ENST00000331830
IFT22	ENST00000315322
SPARCL1	ENST00000418378
RNF139	ENST00000303545
GPR150	ENST00000380007
OR5K4	ENST00000354924
OLIG3	ENST00000367734
TMX4	ENST00000246024
SNX4	ENST00000251775
SOX6	ENST00000396356
ATXN7	ENST00000295900
SH2D5	ENST00000444387
TRMT12	ENST00000328599
KMT2E	ENST00000311117
EXOC8	ENST00000366645
SNX17	ENST00000233575
PALM3	ENST00000340790
PEX1	ENST00000248633
ADH1B	ENST00000305046
MOK	ENST00000361847
TPD52L1	ENST00000304877
TRAF3IP1	ENST00000373327
SZRD1	ENST00000401088
SNX3	ENST00000230085
XRN2	ENST00000377191
FAM208A	ENST00000493960
PRSS58	ENST00000552471
KLHDC7B	ENST00000395676
PMF1-BGLAP	ENST00000368276
UBE2U	ENST00000371076
PPM1L	ENST00000498165
C12orf75	ENST00000443585
RXFP4	ENST00000368318
FAT1	ENST00000441802
RIMKLB	ENST00000357529
CHST11	ENST00000303694
IQCJ-SCHIP1	ENST00000485419
ABHD18	ENST00000645843
RUSC1	ENST00000368352
GLB1L3	ENST00000431683
SEC11A	ENST00000558134
HIGD1A	ENST00000452906
NMB	ENST00000394588
FAM149A	ENST00000227065
KLHL40	ENST00000287777
MCRIP1	ENST00000572645
FAM71B	ENST00000302938
DPM3	ENST00000368399
MED7	ENST00000286317
DCST1	ENST00000295542
MYC	ENST00000621592
GCLM	ENST00000370238
TRMT61A	ENST00000389749
PTX3	ENST00000295927
PMVK	ENST00000368467
RNF133	ENST00000340112
AGA	ENST00000264595
GPR87	ENST00000260843
IL6R	ENST00000368485
PILRA	ENST00000198536
USP17L5	ENST00000507227
CDCP2	ENST00000371330
TESC	ENST00000335209
