#GENE SYNS
ASIC1	ACCN2,BNaC2,hBNaC2
SCAND1	RAZ1,SDP1
SERPINB3	SCCA1,HsT1196,T4-A,HsT1196,T4-A
BLK	MGC10442
SERPINB4	SCCA2,LEUPIN,PI11,SCCA1,SCCA-2
SCD	SCDOS,FADS5
SCEL	FLJ21667,MGC22531
SCG2	CHGC,SgII,SN
CLEC11A	SCGF,CLECSF3,LSLCL,P47
STMN2	SCGN10,SCG10
BLM	BS,RECQ2,RECQL3
SCML1	.
SCML2	.
SCN10A	hPN3,Nav1.8,PN3,SNS
SCN11A	SCN12A,NaN,Nav1.9,SNS-2
SCN1A	SCN1,GEFSP2,HBSCI,NAC1,Nav1.1,SMEI,GEFSP2,HBSCI,NAC1,Nav1.1,SMEI
SCN1B	.
SCN2A	SCN2A2,HBSCI,HBSCII,Nav1.2,HBSCI,HBSCII,Nav1.2
SCN2B	.
BLMH	BH
SCN3A	Nav1.3
SCN4A	HYKPP,HYPP,Nav1.4,SkM1
SCN4B	LQT10
SCN5A	CMD1E,CDCD2,CMPD2,HB1,HB2,HBBD,HH1,ICCD,IVF,LQT3,Nav1.5,PFHB1,SSS1
SCN7A	SCN6A,NaG,Nav2.1,Nav2.2
SCN8A	MED,CerIII,CIAT,NaCh6,Nav1.6,PN4
SCN9A	ETHA,Nav1.7,NENA,NE-NA,PN1
SCNN1A	SCNN1,ENaCalpha
CXCR5	BLR1,CD185,MDR15
SCNN1B	ENaCbeta
SCNN1D	dNaCh,ENaCdelta
SCNN1G	ENaCgamma,SCNEG
SCO1	SCOD1
SCO2	MYP6,SCO1L
SCP2	.
SCT	.
SCTR	.
CCL1	SCYA1,I-309,P500,SISe,TCA3
CCL11	SCYA11,eotaxin,MGC22554
CCL13	SCYA13,CKb10,MCP-4,MGC17134,NCC-1,SCYL1
CCL14	SCYA14,CKb1,HCC-1,HCC-3,MCIF,NCC-2,SCYL2
CCL15	SCYA15,HCC-2,HMRP-2B,Lkn-1,MIP-1d,MIP-5,NCC-3,SCYL3
CCL16	SCYA16,CKb12,HCC-4,LCC-1,LEC,LMC,Mtn-1,NCC-4,SCYL4
CCL17	SCYA17,ABCD-2,TARC
CCL18	SCYA18,AMAC-1,CKb7,DCCK1,DC-CK1,MIP-4,PARC
CCL19	SCYA19,CKb11,ELC,exodus-3,MIP-3b
CCL2	SCYA2,GDCF-2,HC11,MCAF,MCP1,MCP-1,MGC9434,SMC-CF
CCL20	SCYA20,CKb4,exodus-1,LARC,MIP-3a,ST38
BLVRA	BLVR
CCL21	SCYA21,6Ckine,CKb9,ECL,exodus-2,SLC,TCA4
CCL22	SCYA22,A-152E5.1,ABCD-1,DC/B-CK,MDC,MGC34554,STCP-1
CCL23	SCYA23,CKb8,Ckb-8,MIP-3,MPIF-1
CCL24	SCYA24,Ckb-6,eotaxin-2,MPIF2,MPIF-2
CCL25	SCYA25,Ckb15,TECK
CCL26	SCYA26,eotaxin-3,IMAC,MIP-4a,MIP-4alpha,TSC-1
CCL27	SCYA27,ALP,CTACK,CTAK,ESkine,ILC,PESKY,skinkine
CCL3	SCYA3,G0S19-1,LD78ALPHA,MIP-1-alpha
CCL3L1	SCYA3L1,G0S19-2,LD78BETA,G0S19-2,LD78BETA,G0S19-2,LD78BETA
BLVRB	FLR,SDR43U1
CCL4	SCYA4,Act-2,AT744.1,MIP-1-beta,Act-2,AT744.1,MIP-1-beta
CCL4L1	SCYA4L,AT744.2,LAG-1,AT744.2,LAG-1
CCL5	SCYA5,MGC17164,RANTES,SISd,TCP228,MGC17164,RANTES,SISd,TCP228
CCL7	SCYA7,FIC,MARC,MCP3,MCP-3,NC28,FIC,MARC,MCP3,MCP-3,NC28
CCL8	SCYA8,HC14,MCP-2
CXCL10	SCYB10,C7,crg-2,gIP-10,IFI10,IP-10,mob-1,C7,crg-2,gIP-10,IFI10,IP-10,mob-1
CXCL11	SCYB9B,b-R1,H174,IP-9,I-TAC,b-R1,H174,IP-9,I-TAC
CXCL13	SCYB13,ANGIE,ANGIE2,BCA-1,BLC,BLR1L
CXCL14	SCYB14,BMAC,bolekine,BRAK,Kec,KS1,MIP-2g,NJAC
CXCL5	SCYB5,ENA-78
CXCL6	SCYB6,CKA-3,GCP-2
XCL1	SCYC1,ATAC,LPTN,SCM-1,SCM-1a,ATAC,LPTN,SCM-1,SCM-1a
XCL2	SCYC2,SCM-1b
CX3CL1	SCYD1,ABCD-3,C3Xkine,CXC3,CXC3C,fractalkine,neurotactin,NTN
AIMP1	SCYE1,EMAP-2,EMAPII,p43
BLZF1	JEM-1
SDC1	SDC,CD138,SYND1,syndecan
SDC2	HSPG1,CD362,fibroglycan,SYND2,CD362,fibroglycan,SYND2
BMI1	PCGF4,RNF51
SDC3	N-syndecan,SYND3
SDC4	amphiglycan,ryudocan,SYND4
SDCBP	MDA-9,SYCL
NEMF	SDCCAG1,FLJ10051,NY-CO-1
CWC27	SDCCAG10,NY-CO-10,SDCCAG-10
UTP14A	SDCCAG16,NY-CO-16,Utp14
STARD10	SDCCAG28,CGI-52,NY-CO-28,PCTP2
ENTR1	SDCCAG3,NY-CO-3
NOXA1	SDCCAG31,FLJ25475,NY-CO-31
TSHZ1	SDCCAG33,NY-CO-33,TSH1
BMP1	PCOLC
SDCCAG8	BBS16,CCCAP,NPHP10,NY-CO-8,SLSN7
CXCL12	SDF1B,PBSF,SCYB12,SDF-1a,SDF-1b,TLSF-a,TLSF-b,TPAR1,PBSF,SCYB12,SDF-1a,SDF-1b,TLSF-a,TLSF-b,TPAR1,PBSF,SCYB12,SDF-1a,SDF-1b,TLSF-a,TLSF-b,TPAR1
